state_abb,Provider Name,state,geometry
AK,PROVIDENCE SEWARD MED & CARE CENTER LTC,Alaska,"c(-149.443395, 60.132402)"
AK,MAPLE SPRINGS OF WASILLA,Alaska,"c(NA, NA)"
AK,UTUQQANAAT INAAT,Alaska,"c(-162.589499, 66.895635)"
AK,PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,Alaska,"c(-149.7151, 61.225333)"
AK,QUYANNA CARE CENTER,Alaska,"c(NA, NA)"
AK,MAPLE SPRINGS OF PALMER,Alaska,"c(NA, NA)"
AK,HERITAGE PLACE,Alaska,"c(-151.082422, 60.493166)"
AK,PROVIDENCE EXTENDED CARE,Alaska,"c(-149.774066, 61.213044)"
AK,YUKON KUSKOKWIM ELDER'S HOME,Alaska,"c(NA, NA)"
AK,DENALI CENTER,Alaska,"c(-147.742115, 64.830445)"
AK,WILDFLOWER COURT,Alaska,"c(-134.464075, 58.32931)"
AK,WRANGELL MEDICAL CENTER LTC,Alaska,"c(NA, NA)"
AK,PROVIDENCE TRANSITIONAL CARE CENTER,Alaska,"c(-149.773719, 61.212083)"
AK,PETERSBURG MEDICAL CENTER LTC,Alaska,"c(-132.955659, 56.812483)"
AK,KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,Alaska,"c(-131.686049, 55.352717)"
AK,SEARHC SITKA LONG TERM CARE,Alaska,"c(-135.345929, 57.058992)"
AK,PROVIDENCE VALDEZ MEDICAL CENTER,Alaska,"c(-146.349974, 61.133261)"
AK,PROVIDENCE KODIAK ISLAND MED LTC,Alaska,"c(-152.373943, 57.800835)"
AK,SOUTH PENINSULA HOSPITAL LTC,Alaska,"c(-151.550296, 59.652133)"
AK,CORDOVA COMMUNITY MED LTC,Alaska,"c(-145.749934, 60.541549)"
AL,PLANTATION MANOR NURSING HOME,Alabama,"c(-87.033532, 33.322518)"
AL,ATHENS HEALTH AND REHABILITATION LLC,Alabama,"c(-86.976937, 34.803468)"
AL,HATLEY HEALTH CARE INC,Alabama,"c(-86.626014, 32.854872)"
AL,SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI,Alabama,"c(-86.991581, 34.805249)"
AL,"WETUMPKA HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.221265, 32.558544)"
AL,MERRY WOOD LODGE,Alabama,"c(-86.323422, 32.559607)"
AL,HIGHLANDS HEALTH AND REHAB,Alabama,"c(-86.047116, 34.661254)"
AL,EASTVIEW REHABILITATION & HEALTHCARE CENTER,Alabama,"c(-86.722451, 33.559483)"
AL,"SUMTER HEALTH AND REHABILITATION, L L C",Alabama,"c(-88.28415, 32.496973)"
AL,"CAREGIVERS OF PLEASANT GROVE, INC",Alabama,"c(-86.95626, 33.487763)"
AL,EAMC LANIER NURSING HOME,Alabama,"c(-85.1702, 32.82397)"
AL,"NORTHWAY HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.809226, 33.533253)"
AL,CULLMAN HEALTH CARE CENTER,Alabama,"c(-86.847418, 34.192058)"
AL,EASTERN SHORE REHABILITATION AND HEALTH CENTER,Alabama,"c(-87.910493, 30.612983)"
